OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
CEDEN,California State Water Resources Control Board,CEDEN--2147292926,Sample-Routine,Water,,40696,0.459027778,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0005,Upper Klamath Lake at Mid Lake-KL0005,,,,,42.3689,-121.85,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833340747,,,Chlorophyll a,,12.5,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:31:06,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147062451,Sample-Routine,Water,,40763,0.444444444,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0004,Upper Klamath Lake at Wocus Bay-KL0004,,,,,42.3262,-121.921,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833209784,,,Chlorophyll a,,42.8,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:11:43,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147475439,Sample-Routine,Water,,40792,0.554166667,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0008,Upper Klamath Lake at Mid North-KL0008,,,,,42.4412,-122,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833211300,,,Chlorophyll a,,111,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:11:58,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147013378,Sample-Routine,Water,,40812,0.583333333,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0009,Upper Klamath Lake at Coon Point-KL0009,,,,,42.4356,-122.029,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832879756,,,Chlorophyll a,,100,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:27:43,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0003:20110822:103500:SR:VT:002,Sample-Routine,Water,,40777,0.440972222,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0003,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,,,,,42.308389,-121.856222,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892085326,,,Chlorophyll a,Unfiltered,56.82514987,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0003%3A20110822%3A103500%3ASR%3AVT%3A002/results/892085326/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:41,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0002:20110517:100500:SR:VT:002,Sample-Routine,Water,,40680,0.420138889,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0002,UPPER KLAMATH LAKE AT PELICAN MARINA,,,,,42.241722,-121.822306,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892082601,,,Chlorophyll a,Unfiltered,4.28127906,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0002%3A20110517%3A100500%3ASR%3AVT%3A002/results/892082601/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:27,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0008:20110627:134900:SR:VT:002,Sample-Routine,Water,,40721,0.575694444,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0008,UPPER KLAMATH LAKE AT MID-LAKE NORTH,,,,,42.441361,-121.998833,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892083826,,,Chlorophyll a,Unfiltered,9.527507275,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0008%3A20110627%3A134900%3ASR%3AVT%3A002/results/892083826/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:33,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147437781,Sample-Routine,Water,,40749,0.576388889,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0009,Upper Klamath Lake at Coon Point-KL0009,,,,,42.4356,-122.029,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833030053,,,Chlorophyll a,,126,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:46:20,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147052400,Sample-Routine,Water,,40651,0.541666667,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0007,Upper Klamath Lake at Shoalwater Bay-KL0007,,,,,42.4071,-121.964,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832577955,,,Chlorophyll a,,13.9,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-07T23:39:17,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0002:20111017:100000:SR:VT:002,Sample-Routine,Water,,40833,0.416666667,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0002,UPPER KLAMATH LAKE AT PELICAN MARINA,,,,,42.241722,-121.822306,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892086743,,,Chlorophyll a,Unfiltered,38.56195267,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0002%3A20111017%3A100000%3ASR%3AVT%3A002/results/892086743/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:50,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0007:20110720:133500:SR:VT:002,Sample-Routine,Water,,40744,0.565972222,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0007,UPPER KLAMATH LAKE AT SHOAL WATER BAY,,,,,42.40725,-121.963083,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892084220,,,Chlorophyll a,Unfiltered,93.34860019,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0007%3A20110720%3A133500%3ASR%3AVT%3A002/results/892084220/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:35,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147471674,Sample-Routine,Water,,40665,0.641666667,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0011,Upper Klamath Lake at Agency North-KL0011,,,,,42.5604,-121.949,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832960299,,,Chlorophyll a,,6.94,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:38:15,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147449562,Sample-Routine,Water,,40763,0.430555556,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0003,Upper Klamath Lake at North Buck Island-KL0003,,,,,42.3082,-121.857,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833510222,,,Chlorophyll a,,12.3,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:53:26,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0003:20110602:100600:SR:VT:002,Sample-Routine,Water,,40696,0.420833333,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0003,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,,,,,42.308389,-121.856222,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892083066,,,Chlorophyll a,Unfiltered,14.91072507,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0003%3A20110602%3A100600%3ASR%3AVT%3A002/results/892083066/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:29,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0003:20111003:103000:SR:VT:002,Sample-Routine,Water,,40819,0.4375,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0003,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,,,,,42.308389,-121.856222,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892086400,,,Chlorophyll a,Unfiltered,73.82806189,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0003%3A20111003%3A103000%3ASR%3AVT%3A002/results/892086400/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:48,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147350597,Sample-Routine,Water,,40777,0.672222222,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0011,Upper Klamath Lake at Agency North-KL0011,,,,,42.5604,-121.949,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833187730,,,Chlorophyll a,,64.9,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:07:54,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147458162,Sample-Routine,Water,,40680,0.472916667,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0004,Upper Klamath Lake at Wocus Bay-KL0004,,,,,42.3262,-121.921,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832690161,,,Chlorophyll a,,3.67,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-07T23:56:52,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0006:20110502:123000:SR:VT:002,Sample-Routine,Water,,40665,0.520833333,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0006,UPPER KLAMATH LAKE AT EAGLE RIDGE,,,,,42.422083,-121.943278,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892082287,,,Chlorophyll a,Unfiltered,21.66686394,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0006%3A20110502%3A123000%3ASR%3AVT%3A002/results/892082287/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:25,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0010:20110808:132500:SR:VT:002,Sample-Routine,Water,,40763,0.559027778,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0010,AGENCY LAKE SOUTH,,,,,42.523583,-121.984278,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892084995,,,Chlorophyll a,Unfiltered,18.09408567,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0010%3A20110808%3A132500%3ASR%3AVT%3A002/results/892084995/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:40,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0009:20110418:140000:SR:VT:002,Sample-Routine,Water,,40651,0.583333333,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0009,UPPER KLAMATH LAKE AT COON POINT,,,,,42.435722,-122.028194,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892081849,,,Chlorophyll a,Unfiltered,16.94618901,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0009%3A20110418%3A140000%3ASR%3AVT%3A002/results/892081849/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:23,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147022750,Sample-Routine,Water,,40833,0.465277778,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0004,Upper Klamath Lake at Wocus Bay-KL0004,,,,,42.3262,-121.921,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833078457,,,Chlorophyll a,,65.2,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:51:58,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147478654,Sample-Routine,Water,,40777,0.440972222,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0003,Upper Klamath Lake at North Buck Island-KL0003,,,,,42.3082,-121.857,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833054171,,,Chlorophyll a,,61.4,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:49:18,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147225185,Sample-Routine,Water,,40749,0.482638889,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0005,Upper Klamath Lake at Mid Lake-KL0005,,,,,42.3689,-121.85,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833054031,,,Chlorophyll a,,104,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:49:17,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147421894,Sample-Routine,Water,,40651,0.628472222,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0011,Upper Klamath Lake at Agency North-KL0011,,,,,42.5604,-121.949,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833240387,,,Chlorophyll a,,7.34,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:16:13,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147303849,Sample-Routine,Water,,40792,0.606944444,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0011,Upper Klamath Lake at Agency North-KL0011,,,,,42.5604,-121.949,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833455183,,,Chlorophyll a,,165,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:46:32,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147321106,Sample-Routine,Water,,40665,0.602083333,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0009,Upper Klamath Lake at Coon Point-KL0009,,,,,42.4356,-122.029,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833170423,,,Chlorophyll a,,17.3,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:04:47,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0003:20110613:103400:SR:VT:002,Sample-Routine,Water,,40707,0.440277778,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0003,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,,,,,42.308389,-121.856222,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892083447,,,Chlorophyll a,Unfiltered,21.85255063,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0003%3A20110613%3A103400%3ASR%3AVT%3A002/results/892083447/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:31,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147211185,Sample-Routine,Water,,40833,0.503472222,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0006,Upper Klamath Lake at Eagle Ridge-KL0006,,,,,42.4219,-121.944,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833468421,,,Chlorophyll a,,36.8,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:48:09,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147230630,Sample-Routine,Water,,40749,0.604166667,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0010,Agency Lake South-KL0010,,,,,42.5234,-121.985,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833088755,,,Chlorophyll a,,161,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:53:09,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0011:20110725:145500:SR:VT:002,Sample-Routine,Water,,40749,0.621527778,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0011,AGENCY LAKE NORTH,,,,,42.560556,-121.947444,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892084603,,,Chlorophyll a,Unfiltered,119.4710306,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0011%3A20110725%3A145500%3ASR%3AVT%3A002/results/892084603/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:38,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147231948,Sample-Routine,Water,,40749,0.506944444,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0006,Upper Klamath Lake at Eagle Ridge-KL0006,,,,,42.4219,-121.944,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833181157,,,Chlorophyll a,,39.9,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:06:45,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147190183,Sample-Routine,Water,,40833,0.611111111,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0011,Upper Klamath Lake at Agency North-KL0011,,,,,42.5604,-121.949,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833605056,,,Chlorophyll a,,2.75,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T02:06:21,STORET
